Raag Name,URL,Time,Aaroh,Avroh,S,r,R,g,G,m,M,P,d,D,n,N
Shreetank,https://raagtime.com/ragas/shreetank,'18-21,"S - r - P, P - d - P - S'","S' - N - r - N - d - P - G - r, G - r - S",True,True,False,False,True,False,False,True,True,False,False,True
Shreevanti,https://raagtime.com/ragas/shreevanti,'06-09,'N - S - g - M - P - N - S',S' - N - P - M - g - r - S,True,True,False,True,False,False,True,True,False,False,False,True
Sindhura,https://raagtime.com/ragas/sindhura,Monsoon,S - R - m - P - D - S',R' - N - S' - n - D - P - m - g - R - S,True,False,True,True,False,True,False,True,False,True,True,True
Sohoni,https://raagtime.com/ragas/sohoni,'03-06,S - G - M - D - N - S',S' - N - D - M - D - G - M - G - r - S,True,True,False,False,True,False,True,False,False,True,False,True
Sorath,https://raagtime.com/ragas/sorath,'06-09,"S - R, m - P - N, S","S' - R', n - D, m - P - D, m - R - 'N - S",True,False,True,False,False,True,False,True,False,True,True,True
Sourashtra Tank,https://raagtime.com/ragas/sourashtra-tank,'06-09,"S - r, G - m, P - m, D - S'","S' - N - D - m, N - d - P, m - G - r - S",True,True,False,False,True,True,False,True,True,True,False,True
Tanki,https://raagtime.com/ragas/tanki,'18-21,"S - r - G - P, d - P - N - S'","S' - N - d - P, M - G, P - G - r - S",True,True,False,False,True,False,True,True,True,False,False,True
Tilak Kamod,https://raagtime.com/ragas/tilak-kamod,'18-21,S - R - G - S - R - m - P - N - S,S' - n - D - P - D - m - G - S - R - G - S,True,False,True,False,True,True,False,True,False,True,True,True
Tilang,https://raagtime.com/ragas/tilang,'18-21,S - G - m - P - N - S',S' - n - P - m - G - S,True,False,False,False,True,True,False,True,False,False,True,True
"Todi, Anjani",https://raagtime.com/ragas/todi-anjani,'09-12,S - R - m - P - n - d - N - S',S' - n - D - P - g - R - S,True,False,True,True,False,True,False,True,True,True,True,True
"Todi, Asa",https://raagtime.com/ragas/todi-asa,'06-09,S - r - m - P - d - S',S' - n - d - m - r - g - r - S,True,True,False,True,False,True,False,True,True,False,True,False
"Todi, Bahaduri",https://raagtime.com/ragas/todi-bahaduri,'06-09,"R - 'n - S  - R - g - (S)R - g, m - P - (N)d - S'","S' - r' - n - d - m - g - R, g - (S)R - g, r - S",True,True,True,True,False,True,False,True,True,False,True,True
"Todi, Bairagi",https://raagtime.com/ragas/todi-bairagi,'06-09,S - r - g - P - n - S',S' - n - P - g - r - S,True,True,False,True,False,False,False,True,False,False,True,False
"Todi, Bhupali",https://raagtime.com/ragas/todi-bhupali,'09-12,'d - S - r - g - P - d - S',S' - d - P - g - r - S,True,True,False,True,False,False,False,True,True,False,False,False
"Todi, Bilaskhani",https://raagtime.com/ragas/todi-bilaskhani,'09-12,S - r - g - P - d - S',S' - r' - n - d - m - g - rgr - S,True,True,False,True,False,True,False,True,True,False,True,False
"Todi, Chhaya",https://raagtime.com/ragas/todi-chhaya,'06-09,S - r - g - M - d - S',S' - d - M - g - r - S,True,True,False,True,False,False,True,False,True,False,False,False
"Todi, Darbari",https://raagtime.com/ragas/todi-darbari,'06-09,S - r - g - M - d - N - S',S' - n - d - P - M - P - d - n - d - P - M - g - r - g - r - S,True,True,False,True,False,False,True,True,True,False,True,True
"Todi, Gauri",https://raagtime.com/ragas/todi-gauri,'06-09,"S - r, g - M - P - d - N - S'",S' - N - d - P - M - G - r - S,True,True,False,True,True,False,True,True,True,False,False,True
"Todi, Gujari",https://raagtime.com/ragas/todi-gujari,'09-12,S - r - g - M - d - N - S',S' - N - d - M - g - r - S,True,True,False,True,False,False,True,False,True,False,False,True
"Todi, Hussaini",https://raagtime.com/ragas/todi-hussaini,'06-09,"S - R - M - P - D, m - P - N - S'","S' - P - D - MP, g - R - S - 'N - S or R' - n - D - P, MPDP - g, Rg - SR - 'NS",True,True,True,True,False,True,True,True,False,True,True,True
